OFV10471.1_3	OFV10471.1_3
OFV10471.1_3	WP_070569063.1_3
OFV10471.1_9	OFV10471.1_9
SDH45420.1_10	SDH45420.1_10
SDH45420.1_15	SDH45420.1_15
SDH45420.1_16	SDH45420.1_16
ATP55373.1_11	ATP55373.1_11
ATP55373.1_11	WP_099437326.1_11
ATP55373.1_14	ATP55373.1_14
ATP55373.1_14	WP_099437326.1_14
ATP55373.1_16	ATP55373.1_16
ATP55373.1_16	WP_099437326.1_16
ATP55373.1_17	ATP55373.1_17
ATP55373.1_17	WP_099437326.1_17
WP_070569063.1_9	WP_070569063.1_9
WP_070569063.1_10	WP_070569063.1_10
WP_070569063.1_16	WP_070569063.1_16
PST83892.1_1	PST83892.1_1
PST83892.1_1	WP_107213801.1_1
PST83892.1_12	PST83892.1_12
PST83892.1_12	WP_107213801.1_12
PST83892.1_13	PST83892.1_13
PST83892.1_13	WP_107213801.1_13
PST83892.1_17	PST83892.1_17
PST83892.1_17	WP_107213801.1_17
PST83892.1_18	PST83892.1_18
PST83892.1_18	WP_107213801.1_18
PST83892.1_19	PST83892.1_19
PST83892.1_19	WP_107213801.1_19
